n_qubits,n_layers,seed,gate_train_loss,gate_acc_train,gate_acc_test,gate_lr,pulsed_train_loss,pulsed_acc_train,pulsed_acc_test,pulsed_lr,mixed_train_loss,mixed_acc_train,mixed_acc_test,mixed_lr
1,1,0,0.1122156528608082,0.848,0.872,0.05,0.1003567930709113,0.89,0.756,0.0063435580154875,0.1105907303547752,0.858,0.872,0.0117854053391537
1,1,1,0.1280422066345477,0.824,0.848,0.05,0.1406048248854001,0.81,0.82,0.0035589318687527,0.1278637375052417,0.82,0.848,0.0002942584181648
1,1,2,0.1011035500064109,0.862,0.82,0.05,0.1303475593854176,0.822,0.788,0.0085644729948262,0.1006723780567063,0.868,0.836,0.0002196665260633
1,1,3,0.1071909600204778,0.838,0.828,0.05,0.1274701106243022,0.844,0.82,0.0109940757318185,0.1066716079174981,0.838,0.832,0.0001532772001233
1,1,4,0.1093520581187261,0.854,0.832,0.05,0.1043406117393006,0.892,0.828,7.918390242876071e-05,0.1091885356766772,0.858,0.828,0.0063585743136797
1,2,0,0.0869760308806899,0.898,0.704,0.05,0.1038457755246097,0.868,0.752,0.0004478591886953,0.0935552462280385,0.886,0.724,0.0010483258555488
1,2,1,0.1678775243623451,0.774,0.608,0.05,0.1229767129922038,0.842,0.764,0.0003514475896378,0.1591592776791662,0.774,0.628,0.0050905928539566
1,2,2,0.1688961930675175,0.766,0.704,0.05,0.1077561450882784,0.876,0.748,0.0001130690104281,0.1624930388883121,0.77,0.672,0.0004994891043235
1,2,3,0.1125288171559174,0.852,0.788,0.05,0.1092277529858028,0.85,0.836,0.0008976450170615,0.1123950541797254,0.85,0.792,0.0003549597828854
1,2,4,0.1099771460926098,0.852,0.844,0.05,0.1073315690720514,0.872,0.852,0.0029173240096116,0.1126532854367654,0.84,0.84,0.0044761470000106
1,3,0,0.0705263468408669,0.91,0.708,0.05,0.086389004078318,0.904,0.776,0.0020001782755022,0.0794975388628888,0.896,0.644,0.0023343882554589
1,3,1,0.1089056393437337,0.864,0.816,0.05,0.1481723083242908,0.806,0.804,0.0001269956221841,0.1135719958674424,0.844,0.788,0.0013444467416737
1,3,2,0.1371279788843844,0.812,0.672,0.05,0.1093805026471887,0.856,0.784,0.0022494484196682,0.1253247291402789,0.83,0.7,0.0005015629280076
1,3,3,0.0898216774739373,0.886,0.828,0.05,0.1339985364536206,0.824,0.804,0.000269517045218,0.1061097015282346,0.848,0.848,0.0004822421093131
1,3,4,0.091321885132555,0.884,0.88,0.05,0.1095961724865021,0.86,0.796,0.0007956779456728,0.0958691460470889,0.876,0.844,0.0012584694999284
1,4,0,0.0693057110860243,0.922,0.692,0.05,0.0815464792181756,0.894,0.736,0.0003329140483409,0.0900027542859529,0.882,0.68,0.0006661397150849
1,4,1,0.1363504635248793,0.802,0.696,0.05,0.1433728572757472,0.836,0.78,0.0005580770987695,0.14532917210135,0.81,0.672,0.0013334494771136
1,4,2,0.1239744751128865,0.836,0.676,0.05,0.0998770589085164,0.872,0.772,0.0002631099327295,0.1241329400470401,0.84,0.592,0.000527783034105
1,4,3,0.0963565089103983,0.882,0.82,0.05,0.1156491450744742,0.854,0.836,0.0003305168682846,0.1048534618052876,0.87,0.824,0.0011225179500914
1,4,4,0.1116353658318906,0.868,0.804,0.05,0.1077810742982533,0.874,0.82,0.0001662171538563,0.096343345084253,0.87,0.844,6.835945229552997e-05
1,5,0,0.0774953512889734,0.912,0.72,0.05,0.084272075838739,0.898,0.764,0.0008936394119172,0.0931683812446938,0.892,0.708,0.0001075127629008
1,5,1,0.1182576292198856,0.856,0.764,0.05,0.1340498881864966,0.8,0.8,0.0001256397439491,0.1201540652481573,0.838,0.792,0.0001039486058632
1,5,2,0.125265818055659,0.834,0.676,0.05,0.1386729253787562,0.824,0.768,0.0011433493469385,0.1185806669956126,0.84,0.728,0.0020893999111641
1,5,3,0.0833974465727368,0.894,0.824,0.05,0.1055396081054411,0.844,0.864,0.0021136798639989,0.1078758543037979,0.852,0.8,0.0009007298068801
1,5,4,0.0796969461537251,0.884,0.872,0.05,0.0977547286113541,0.888,0.832,6.552777455967517e-05,0.0841491030818981,0.886,0.836,0.0009485454697961
1,6,0,0.0765559035236057,0.898,0.712,0.05,0.0798677886963423,0.916,0.788,8.919595515072291e-05,0.0793391226180824,0.912,0.736,0.0001159081106756
1,6,1,0.1212158740236145,0.84,0.704,0.05,0.1168431517178361,0.844,0.768,0.0009853998734704,0.122057906989257,0.834,0.776,0.0003782863475991
1,6,2,0.1256199705812295,0.84,0.708,0.05,0.1018789413020445,0.87,0.744,0.0001028662221839,0.1341865829260618,0.82,0.632,0.000468920690305
1,6,3,0.1030023277125533,0.872,0.792,0.05,0.1163589843433054,0.86,0.784,0.000238135096439,0.1070977934645449,0.868,0.768,0.0015707720776098
1,6,4,0.0866055450819865,0.894,0.856,0.05,0.0899519257022847,0.884,0.808,0.000364646091946,0.0998619750473055,0.872,0.864,0.0001276285025091
1,7,0,0.0719867565437612,0.91,0.696,0.05,0.0874229960439558,0.882,0.768,0.0002051863642554,0.0835383944520609,0.888,0.744,0.0002603849794272
1,7,1,0.1043110900523655,0.86,0.76,0.05,0.116269809595191,0.842,0.836,0.0001857939962622,0.1305693263196484,0.834,0.74,0.0008275038373443
1,7,2,0.105704834240207,0.872,0.748,0.05,0.1130295540928269,0.846,0.616,0.0002712690856826,0.1053533049454137,0.884,0.732,0.0007012861169416
1,7,3,0.1018960696589956,0.866,0.776,0.05,0.1064212670374714,0.854,0.804,0.0001527896519773,0.1055489584889417,0.854,0.784,0.0002312426905595
1,7,4,0.0892062957192781,0.89,0.888,0.05,0.0830527186792733,0.9,0.836,0.0005320254414469,0.1113240412297282,0.846,0.768,9.55303697140403e-05
1,8,0,0.0814763236776434,0.89,0.724,0.05,0.0889498092898769,0.874,0.732,0.00081716175882,0.0782761620345058,0.898,0.732,0.0002806405963916
1,8,1,0.1146090721984095,0.844,0.8,0.05,0.1202213959349752,0.846,0.768,0.0007056076948564,0.118499563777176,0.848,0.628,0.0003079753599324
1,8,2,0.1078960546351819,0.878,0.728,0.05,0.0893177466987209,0.906,0.772,0.0005301790136606,0.108330679506674,0.868,0.668,0.0006194631962468
1,8,3,0.0865860970318469,0.894,0.804,0.05,0.1069285338797161,0.874,0.788,0.000190060893405,0.1100564718590101,0.846,0.836,0.0004866340367835
1,8,4,0.0936318488752795,0.872,0.84,0.05,0.094586953312666,0.878,0.852,0.0001171794084673,0.0966381037832675,0.884,0.86,0.0002072627295211
2,1,0,0.1072956885867763,0.856,0.876,0.05,0.1077620286058635,0.872,0.752,0.0004138525230216,0.1081465855181727,0.86,0.872,0.0139494464182068
2,1,1,0.1221739654532299,0.836,0.824,0.05,0.1263390746771054,0.84,0.768,0.0035451626783455,0.1216783306879309,0.832,0.816,0.0018908633737101
2,1,2,0.0965377848906129,0.872,0.82,0.05,0.10471037903246,0.87,0.764,0.0122229082130664,0.094394665001247,0.876,0.816,0.0078916469173761
2,1,3,0.0997243759342695,0.858,0.86,0.05,0.1156633338118006,0.858,0.824,0.0076996119071235,0.1001009805568904,0.86,0.852,0.0003882389164755
2,1,4,0.105597046970667,0.858,0.836,0.05,0.1095343421757821,0.862,0.832,0.0002387279029529,0.1058288735246094,0.862,0.832,0.0053218928154607
2,2,0,0.0775798820548147,0.912,0.752,0.05,0.0864740007463216,0.898,0.74,0.0017483580754975,0.0830840785108933,0.908,0.668,0.0015320572403013
2,2,1,0.1076721036033295,0.866,0.788,0.05,0.1260370821501243,0.836,0.872,0.0007276866757207,0.1365031309851536,0.832,0.608,0.0001984136433137
2,2,2,0.0937120085778021,0.89,0.792,0.05,0.1256005089024256,0.836,0.728,0.0010573287635793,0.1006683001911794,0.896,0.756,0.0011293767882345
2,2,3,0.0828971148845694,0.896,0.8,0.05,0.1288389372022189,0.85,0.812,0.0007235355991524,0.092528886836436,0.88,0.824,0.0008861017933507
2,2,4,0.0805698329049153,0.88,0.88,0.05,0.1087999350639328,0.868,0.856,0.0009762176396403,0.094907511119307,0.884,0.888,0.0014106204805368
2,3,0,0.0651017237301541,0.916,0.732,0.05,0.0940292966806634,0.89,0.764,0.0007858221577982,0.0875427179806598,0.878,0.716,0.0001845539939251
2,3,1,0.1052091237919772,0.864,0.84,0.05,0.1138732900706717,0.85,0.872,0.0003404139758058,0.1143822635684768,0.866,0.776,0.0013235494848555
2,3,2,0.0946678323358643,0.9,0.712,0.05,0.1050314419255851,0.87,0.736,0.0009218594489515,0.1036081074932321,0.872,0.768,0.0006755948117247
2,3,3,0.0783959405997788,0.906,0.844,0.05,0.1083915431812446,0.872,0.864,0.000363462649289,0.092613080654327,0.888,0.816,0.0003116913555914
2,3,4,0.0811137774584503,0.894,0.904,0.05,0.0944543646832744,0.88,0.84,0.0001718906834115,0.0914865546954189,0.892,0.892,0.0008952753401924
2,4,0,0.0615945019990389,0.924,0.712,0.05,0.0786784212225993,0.898,0.716,0.0004310898619015,0.0720616839510446,0.906,0.724,0.0001997099192176
2,4,1,0.1084673022275025,0.852,0.764,0.05,0.1225211862939379,0.836,0.884,0.0007673113183167,0.1222381098402514,0.826,0.76,0.0007270175976696
2,4,2,0.1017767931283855,0.876,0.764,0.05,0.0953055703489912,0.882,0.744,0.0001390893270342,0.1060438593288101,0.858,0.664,0.0005422305762866
2,4,3,0.0793316121426106,0.908,0.86,0.05,0.0962211393839656,0.878,0.804,0.0001836235578389,0.0933878379358887,0.892,0.788,0.0009621767897368
2,4,4,0.079804814550688,0.898,0.892,0.05,0.1006164077279889,0.874,0.844,0.0001697877856402,0.0908780218612393,0.88,0.832,0.0002031755406571
2,5,0,0.0643594733365549,0.92,0.732,0.05,0.0769799356360541,0.918,0.76,0.0004565668794352,0.069091516420672,0.924,0.688,0.0008175791268202
2,5,1,0.1044828191613256,0.866,0.74,0.05,0.1116440899219829,0.844,0.824,0.0002937823356939,0.1185223463279292,0.854,0.652,0.0006490553510692
2,5,2,0.0889268886477281,0.896,0.772,0.05,0.0876376516599575,0.89,0.752,0.0007905279276214,0.1018422001660551,0.87,0.696,0.0010758728047167
