dataset,n_qubits,n_layers,seed,gate_train_loss,gate_acc_train,gate_acc_test,gate_lr,pulsed_train_loss,pulsed_acc_train,pulsed_acc_test,pulsed_lr,mixed_train_loss,mixed_acc_train,mixed_acc_test,mixed_lr
corners3d,1,4,2,0.1734306273212598,0.766,0.636,0.05,0.1547372822713589,0.792,0.756,0.001287376906312,0.1886041235836227,0.756,0.708,0.0047389250662697
corners3d,1,1,0,0.2502654520976016,0.658,0.656,0.05,0.1764988641495055,0.732,0.704,0.0058344986147649,0.2497634424504083,0.65,0.656,0.0001969728682485
corners3d,1,1,1,0.2414254130313442,0.682,0.668,0.05,0.173917489726539,0.766,0.696,0.0057252574915376,0.2411229051982566,0.672,0.712,0.003781379096816
corners3d,1,1,2,0.2617841962042006,0.63,0.6,0.05,0.1683057818579723,0.76,0.724,0.0096333582041871,0.25869568393021,0.644,0.664,0.0003081268416739
corners3d,1,1,3,0.2450671085883091,0.656,0.672,0.05,0.1679768379925982,0.76,0.784,0.0001194762483372,0.2450624681425511,0.66,0.672,0.0084508052052579
corners3d,1,1,4,0.2400063622986077,0.68,0.624,0.05,0.2024767269094297,0.71,0.772,0.0170817721338826,0.2403344401785246,0.668,0.62,0.0010428736105514
corners3d,1,2,0,0.2157282236587338,0.688,0.7,0.05,0.1173055583257982,0.838,0.756,0.0071859793296623,0.2078539685534731,0.704,0.688,0.000315798788165
corners3d,1,2,1,0.2074079983071834,0.718,0.692,0.05,0.123126917695447,0.848,0.812,0.004181179526781,0.2029156009364063,0.73,0.664,0.0027117538868003
corners3d,1,2,2,0.1906830237795826,0.736,0.704,0.05,0.1458038071830155,0.792,0.792,0.0078068308242723,0.1896504335360511,0.742,0.696,0.0173867696580243
corners3d,1,2,3,0.2152793622337168,0.674,0.7,0.05,0.1414072341422197,0.808,0.812,0.0105796966081549,0.2126519442987721,0.704,0.68,0.0014025775390445
corners3d,1,2,4,0.2316598919370258,0.68,0.692,0.05,0.146463419600868,0.788,0.796,0.0052292449961696,0.2321969729539686,0.67,0.696,0.0093157778779953
corners3d,1,3,0,0.2006506497223678,0.714,0.656,0.05,0.1222714479160658,0.828,0.76,0.0038223704220772,0.1941536704263552,0.726,0.704,0.0001115564069664
corners3d,1,3,1,0.2307863116292087,0.642,0.66,0.05,0.1122149462984706,0.838,0.812,0.000809939464169,0.1822507591282537,0.754,0.756,0.0007103504043596
corners3d,1,3,2,0.2216360529844717,0.68,0.66,0.05,0.1424212812147474,0.816,0.812,0.0010398147981707,0.1965635640978308,0.706,0.688,0.0017499560220527
corners3d,1,3,3,0.2081158531922238,0.682,0.648,0.05,0.1438426064116139,0.782,0.812,0.0001972717241757,0.2242517594997587,0.696,0.688,0.0003482285415013
corners3d,1,3,4,0.2088622129500491,0.702,0.616,0.05,0.1518196459215002,0.776,0.772,0.0022287436181626,0.1943693176446665,0.726,0.68,0.0001823721360924
corners3d,1,4,0,0.1658479251305722,0.742,0.68,0.05,0.1228117204708966,0.818,0.764,0.0006229363873702,0.1760844113848847,0.752,0.676,0.0001757476068794
corners3d,1,4,1,0.1917106282604903,0.714,0.72,0.05,0.12918200553026,0.834,0.836,0.0005207096191408,0.1785814267862517,0.774,0.724,0.0014448410472118
corners3d,1,8,2,0.1715401367112103,0.758,0.684,0.05,0.137966572466073,0.8,0.8,5.116497062186204e-05,0.1797831487348455,0.74,0.736,0.0003311082878551
corners3d,1,8,3,0.1648100434334606,0.768,0.716,0.05,0.1477659065505955,0.808,0.784,0.0008226594982337,0.1629373450413562,0.776,0.744,7.83792757690424e-05
corners3d,2,8,3,0.134318506516405,0.798,0.732,0.05,0.1090949298351141,0.846,0.78,0.0002131413847437,0.152459623437191,0.794,0.688,0.0002332504587628
