dataset,n_qubits,n_layers,gate_train_loss_mean,gate_train_loss_std,gate_train_loss_min,gate_train_loss_max,gate_acc_train_mean,gate_acc_train_std,gate_acc_train_min,gate_acc_train_max,gate_acc_test_mean,gate_acc_test_std,gate_acc_test_min,gate_acc_test_max,gate_lr_mean,gate_lr_std,gate_lr_min,gate_lr_max,pulsed_train_loss_mean,pulsed_train_loss_std,pulsed_train_loss_min,pulsed_train_loss_max,pulsed_acc_train_mean,pulsed_acc_train_std,pulsed_acc_train_min,pulsed_acc_train_max,pulsed_acc_test_mean,pulsed_acc_test_std,pulsed_acc_test_min,pulsed_acc_test_max,pulsed_lr_mean,pulsed_lr_std,pulsed_lr_min,pulsed_lr_max,mixed_train_loss_mean,mixed_train_loss_std,mixed_train_loss_min,mixed_train_loss_max,mixed_acc_train_mean,mixed_acc_train_std,mixed_acc_train_min,mixed_acc_train_max,mixed_acc_test_mean,mixed_acc_test_std,mixed_acc_test_min,mixed_acc_test_max,mixed_lr_mean,mixed_lr_std,mixed_lr_min,mixed_lr_max
fashion,1,1,0.11158088552819415,0.010067170647127612,0.1011035500064109,0.1280422066345477,0.8452,0.01473770674155244,0.824,0.862,0.8400000000000001,0.02059126028197403,0.82,0.872,0.05,0.0,0.05,0.05,0.12062397994106636,0.017439600130565794,0.1003567930709113,0.1406048248854001,0.8516,0.03798420724459049,0.81,0.892,0.8023999999999999,0.030146309890266773,0.756,0.828,0.005908044502662733,0.004260514760024141,7.918390242876071e-05,0.0109940757318185,0.1109973979021797,0.010164020691288588,0.1006723780567063,0.1278637375052417,0.8484,0.01925616784305747,0.82,0.868,0.8432000000000001,0.01775387281693773,0.828,0.872,0.00376223635943696,0.005213287578121978,0.0001532772001233,0.0117854053391537
fashion,1,2,0.12925114231181595,0.03708785372304283,0.0869760308806899,0.1688961930675175,0.8284,0.056593285820846294,0.766,0.898,0.7295999999999999,0.09027070399636865,0.608,0.844,0.05,0.0,0.05,0.05,0.11022759113258922,0.007395308382521715,0.1038457755246097,0.1229767129922038,0.8615999999999999,0.014791889669680484,0.842,0.876,0.7904,0.04960645119336795,0.748,0.852,0.0009454689630868599,0.0011384052458581206,0.0001130690104281,0.0029173240096116,0.12805118048240152,0.030927876844277804,0.0935552462280385,0.1624930388883121,0.8240000000000001,0.05047771785649585,0.77,0.886,0.7312000000000001,0.08622760578840168,0.628,0.84,0.00229390291934498,0.002297528425600914,0.0003549597828854,0.0050905928539566
fashion,1,3,0.09954070553509546,0.025021723705484875,0.0705263468408669,0.1371279788843844,0.8712,0.03689444402616739,0.812,0.91,0.7807999999999999,0.08724219162767516,0.672,0.88,0.05,0.0,0.05,0.05,0.11750730479798403,0.0240274984659025,0.086389004078318,0.1481723083242908,0.85,0.037629775444453534,0.806,0.904,0.7928000000000001,0.012457929201917961,0.776,0.804,0.00108836346164906,0.000982334836273018,0.0001269956221841,0.0022494484196682,0.10407462228918671,0.01744470953956978,0.0794975388628888,0.1253247291402789,0.8587999999999999,0.02666833328125328,0.83,0.896,0.7647999999999999,0.09017316674044445,0.644,0.848,0.00118422190687634,0.0007604055249977875,0.0004822421093131,0.0023343882554589
fashion,1,4,0.10752450489321581,0.02599921596543056,0.0693057110860243,0.1363504635248793,0.8620000000000001,0.04558508528016595,0.802,0.922,0.7375999999999999,0.06856238035541065,0.676,0.82,0.05,0.0,0.05,0.05,0.10964532295503333,0.02270480057323753,0.0815464792181756,0.1433728572757472,0.866,0.021954498400100168,0.836,0.894,0.7888,0.0398396787135639,0.736,0.836,0.00033016702039616,0.00014433198201108116,0.0001662171538563,0.0005580770987695,0.11213233466477672,0.02257231188398964,0.0900027542859529,0.14532917210135,0.8544,0.029271146202361112,0.81,0.882,0.7224,0.10776270226752856,0.592,0.844,0.000743649925738086,0.000500007015416095,6.835945229552997e-05,0.0013334494771136
fashion,1,5,0.09682263825819598,0.022997513115322183,0.0774953512889734,0.125265818055659,0.876,0.031016124838541666,0.834,0.912,0.7712,0.07855698568555185,0.676,0.872,0.05,0.0,0.05,0.05,0.1120578452241574,0.023511316347708002,0.084272075838739,0.1386729253787562,0.8507999999999999,0.04170371686073075,0.8,0.898,0.8056000000000001,0.0426708331299027,0.764,0.864,0.000868367228272675,0.0008401268823754124,6.552777455967517e-05,0.0021136798639989,0.10478561417483194,0.015786608611556365,0.0841491030818981,0.1201540652481573,0.8615999999999999,0.025667099563448943,0.838,0.892,0.7727999999999999,0.05317142089506355,0.708,0.836,0.0008300273113208599,0.0008145984135143376,0.0001039486058632,0.0020893999111641
fashion,1,6,0.10259992418459789,0.02127644958739243,0.0765559035236057,0.1256199705812295,0.8688,0.028092703679069454,0.84,0.898,0.7544,0.06750407395113278,0.704,0.856,0.05,0.0,0.05,0.05,0.1009801583523626,0.016250420964086465,0.0798677886963423,0.1168431517178361,0.8747999999999999,0.02726169473822201,0.844,0.916,0.7784000000000001,0.02393324048264258,0.744,0.808,0.00035604864783800457,0.0003692465934535697,8.919595515072291e-05,0.0009853998734704,0.10850867620905032,0.021038984266703892,0.0793391226180824,0.1341865829260618,0.8612,0.03598888717368185,0.82,0.912,0.7552,0.08363731224758482,0.632,0.864,0.00053230314573972,0.0006006876526793453,0.0001159081106756,0.0015707720776098
fashion,1,7,0.09462100924292148,0.014241698147641195,0.0719867565437612,0.105704834240207,0.8795999999999999,0.020366639388961567,0.86,0.91,0.7736,0.07063143775968321,0.696,0.888,0.05,0.0,0.05,0.05,0.10123926908974368,0.015111428520977268,0.0830527186792733,0.116269809595191,0.8648,0.02512369399590755,0.842,0.9,0.772,0.0916078599247903,0.616,0.836,0.00026941290792488004,0.0001530416146722157,0.0001527896519773,0.0005320254414469,0.10726680508715858,0.01680118010663605,0.0835383944520609,0.1305693263196484,0.8612,0.023773935307390758,0.834,0.888,0.7535999999999999,0.021651789764358984,0.732,0.784,0.00042318959879732805,0.00032074803466644694,9.55303697140403e-05,0.0008275038373443
fashion,1,8,0.09683987928367224,0.014048608300050931,0.0814763236776434,0.1146090721984095,0.8756,0.019768662069042514,0.844,0.894,0.7792,0.05102156406853872,0.724,0.84,0.05,0.0,0.05,0.05,0.10000088782319103,0.013439008111671522,0.0889498092898769,0.1202213959349752,0.8756,0.021279097725232645,0.846,0.906,0.7824,0.04396362132490908,0.732,0.852,0.00047203775384186,0.0003092253617326674,0.0001171794084673,0.00081716175882,0.10236019619212669,0.015557486614458842,0.0782761620345058,0.118499563777176,0.8688,0.02256546033210935,0.846,0.898,0.7448,0.10160314955748172,0.628,0.86,0.00038039518377508,0.0001685309050153582,0.0002072627295211,0.0006194631962468
fashion,2,1,0.10626577236711113,0.009899521907333647,0.0965377848906129,0.1221739654532299,0.8560000000000001,0.012884098726725123,0.836,0.872,0.8432000000000001,0.02406657433038614,0.82,0.876,0.05,0.0,0.05,0.05,0.11280183166060231,0.008558516972095845,0.10471037903246,0.1263390746771054,0.8603999999999999,0.012759310326189273,0.84,0.872,0.788,0.03709447398198284,0.752,0.832,0.00482405264490198,0.005126463996748357,0.0002387279029529,0.0122229082130664,0.10602988705777008,0.010246034982614975,0.094394665001247,0.1216783306879309,0.858,0.016000000000000014,0.832,0.876,0.8375999999999999,0.02426520142096499,0.816,0.872,0.0058884176882458405,0.005374627172657617,0.0003882389164755,0.0139494464182068
fashion,2,2,0.0884861884050862,0.012331489000730491,0.0775798820548147,0.1076721036033295,0.8888,0.017239489551607978,0.866,0.912,0.8024000000000001,0.04712536472007406,0.752,0.88,0.05,0.0,0.05,0.05,0.11515009281300463,0.017872919135074775,0.0864740007463216,0.1288389372022189,0.8576,0.026130442016927335,0.836,0.898,0.8016,0.06564145031913905,0.728,0.872,0.00104662535071804,0.00041940716846171583,0.0007235355991524,0.0017483580754975,0.10153838152859387,0.02054867077790921,0.0830840785108933,0.1365031309851536,0.8800000000000001,0.028982753492378898,0.832,0.908,0.7487999999999999,0.11339841268730352,0.608,0.888,0.0010313139891474001,0.0005289241671660286,0.0001984136433137,0.0015320572403013
